AS번호,접수일시,처리상태,처리완료일,주문번호,고객명,고객연락처,제품명,문제유형,증상설명,처리내용,처리결과,배송비,수리비,부품비,총비용,메모
cmkm5lbt301nzo40sj7zvlf23,2026-01-20T05:28:25.863Z,AS,,,,,?4 2?,OTHER,"","",,0,0,0,0,""
cmkm5lbt001nxo40sry66dyqg,2026-01-20T05:28:25.860Z,AS,,,,,?,OTHER,"","",,0,0,0,0,""
cmkm5lbsw01nvo40s2tlsf5xm,2026-01-20T05:28:25.857Z,AS,,,,,? 2?,OTHER,"","",,0,0,0,0,""
cmkm5lbss01nto40s8cflgtks,2026-01-20T05:28:25.853Z,EXCHANGE,,,,,?4,OTHER,"","",,0,0,0,0,""
cmkm5lbsp01nro40sjykdq26e,2026-01-20T05:28:25.849Z,AS,,,,,?4,OTHER,"","",,0,0,0,0,""
cmkm5lbsl01npo40s1ih55n4l,2026-01-20T05:28:25.846Z,AS,,,,,?4,OTHER,"","",,0,0,0,0,""
cmkm5lbsi01nno40s87zbcp8q,2026-01-20T05:28:25.842Z,AS,,,,,?4,OTHER,"","",,0,0,0,0,""
cmkm5lbse01nlo40sdlts44ah,2026-01-20T05:28:25.839Z,EXCHANGE,,,,,?4,OTHER,"","",,0,0,0,0,""
cmkm5lbsb01njo40sjhisoao4,2026-01-20T05:28:25.835Z,AS,,,,,?,OTHER,"","",,0,0,0,0,""
cmkm5lbs701nho40sdtlzzaje,2026-01-20T05:28:25.832Z,AS,,,,,?4,OTHER,"","",,0,0,0,0,""
cmkm5lbs401nfo40s0ud3km83,2026-01-20T05:28:25.828Z,AS,,,,,?4,OTHER,"","",,0,0,0,0,""
cmkm5lbs001ndo40s5yzklwg4,2026-01-20T05:28:25.824Z,AS,,,,,?4,OTHER,"","",,0,0,0,0,""
cmkm5lbrx01nbo40sb46t7wfu,2026-01-20T05:28:25.821Z,EXCHANGE,,,,,?4,OTHER,"","",,0,0,0,0,""
cmkm5lbrt01n9o40saaxd16h3,2026-01-20T05:28:25.817Z,AS,,,,,3? ??,OTHER,"","",,0,0,0,0,""
cmkm5lbrp01n7o40sap0apvxp,2026-01-20T05:28:25.814Z,AS,,,,,?1+1,OTHER,"","",,0,0,0,0,""
cmkm5lbrm01n5o40s9jo8unn1,2026-01-20T05:28:25.810Z,AS,,,,,?1+1,OTHER,"","",,0,0,0,0,""
cmkm5lbri01n3o40srkm9xyf4,2026-01-20T05:28:25.806Z,EXCHANGE,,,,,?4,OTHER,"","",,0,0,0,0,""
cmkm5lbre01n1o40sjp4h9w26,2026-01-20T05:28:25.803Z,AS,,,,,?4,OTHER,"","",,0,0,0,0,""
cmkm5lbrb01mzo40svz01memv,2026-01-20T05:28:25.799Z,EXCHANGE,,,,,?1+1,OTHER,"","",,0,0,0,0,""
cmkm5lbr701mxo40sj1gi8ss3,2026-01-20T05:28:25.796Z,EXCHANGE,,,,,?4,OTHER,"","",,0,0,0,0,""
cmkm5lbr301mvo40s5p585tsu,2026-01-20T05:28:25.791Z,AS,,,,,?4,OTHER,"","",,0,0,0,0,""
cmkm5lbqz01mto40svzsvdvyt,2026-01-20T05:28:25.788Z,AS,,,,,?4,OTHER,"","",,0,0,0,0,""
cmkm5lbqw01mro40s2rqvsj8h,2026-01-20T05:28:25.784Z,AS,,,,,?,OTHER,"","",,0,0,0,0,""
cmkm5lbqr01mpo40sog39qc0u,2026-01-20T05:28:25.780Z,AS,,,,,?4,OTHER,"","",,0,0,0,0,""
cmkm5lbqo01mno40s99wfcvd4,2026-01-20T05:28:25.776Z,AS,,,,,?4,OTHER,"","",,0,0,0,0,""
cmkm5lbqk01mlo40s2323pycc,2026-01-20T05:28:25.773Z,AS,,,,,?4,OTHER,"","",,0,0,0,0,""
cmkm5lbqh01mjo40s68nwul3x,2026-01-20T05:28:25.769Z,AS,,,,,?,OTHER,"","",,0,0,0,0,""
cmkm5lbqd01mho40sx7uijcn7,2026-01-20T05:28:25.766Z,AS,,,,,?4,OTHER,"","",,0,0,0,0,""
cmkm5lbq901mfo40sllzaokzg,2026-01-20T05:28:25.762Z,AS,,,,,?4,OTHER,"","",,0,0,0,0,""
cmkm5lbq201mdo40sdtkndsnl,2026-01-20T05:28:25.755Z,AS,,,,,?4,OTHER,"","",,0,0,0,0,""
cmkm5lbpz01mbo40s68ir4bv6,2026-01-20T05:28:25.751Z,AS,,,,,?4,OTHER,"","",,0,0,0,0,""
cmkm5lbpv01m9o40s4zrpjkyz,2026-01-20T05:28:25.747Z,AS,,,,,?4,OTHER,"","",,0,0,0,0,""
